55,Dark Seer,28,201235,9175.0,Semi-Carry,74,122,254,8,2012,August
62,Bounty Hunter,28,201235,9757.0,Carry,132,101,197,8,2012,August
1,Anti-Mage,27,201235,15573.0,Carry,202,53,153,8,2012,August
61,Broodmother,26,201235,10243.0,Carry,85,122,136,8,2012,August
17,Storm Spirit,24,201235,9319.0,Carry,176,102,237,8,2012,August
34,Tinker,23,201235,9341.0,Carry,98,107,167,8,2012,August
46,Templar Assassin,17,201235,7449.0,Carry,123,58,97,8,2012,August
77,Lycan,16,201235,7719.0,Carry,94,46,112,8,2012,August
60,Night Stalker,15,201235,4872.0,Semi-Carry,63,58,105,8,2012,August
5,Crystal Maiden,15,201235,2874.0,Support,27,58,148,8,2012,August
19,Tiny,13,201235,6439.0,Carry,115,64,117,8,2012,August
91,Wisp,12,201235,2594.0,Support,37,71,187,8,2012,August
89,Naga Siren,12,201235,5719.0,Carry,52,34,90,8,2012,August
90,Keeper of the Light,11,201235,3043.0,Support,29,48,99,8,2012,August
25,Lina,11,201235,2466.0,Support,32,41,86,8,2012,August
20,Vengeful Spirit,10,201235,1826.0,Support,18,67,121,8,2012,August
68,Ancient Apparition,9,201235,1809.0,Support,21,33,71,8,2012,August
13,Puck,9,201235,3277.0,Semi-Carry,52,28,90,8,2012,August
48,Luna,8,201235,3655.0,Carry,25,32,64,8,2012,August
87,Disruptor,7,201235,1322.0,Semi-Carry,11,43,73,8,2012,August
7,Earthshaker,7,201235,1437.0,Support,10,34,66,8,2012,August
31,Lich,7,201235,1096.0,Support,17,31,27,8,2012,August
14,Pudge,6,201235,1772.0,Semi-Carry,41,30,57,8,2012,August
65,Batrider,5,201235,1229.0,Semi-Carry,14,23,47,8,2012,August
49,Dragon Knight,5,201235,1812.0,Carry,15,22,31,8,2012,August
9,Mirana,5,201235,1536.0,Carry,18,12,36,8,2012,August
56,Clinkz,4,201235,1699.0,Carry,28,16,15,8,2012,August
8,Juggernaut,4,201235,1317.0,Carry,10,11,15,8,2012,August
92,Visage,3,201235,641.0,Support,14,10,27,8,2012,August
43,Death Prophet,3,201235,1072.0,Semi-Carry,11,14,11,8,2012,August
